V1,issue,Dem_quote_text,Repub_quote_text,ideo,pid,ranking1,ranking3,gender,age,race,Repub_both,Repub_quote,Repub_issue,Repub_neither,approval,Dem_both,Dem_quote,Dem_issue,Dem_neither,approval
R_3mmmzA8cOZYtTWa,Environment,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Strong Republican,Health care,Environment,Female,55-64,Hispanic,,,1,,Disapprove strongly,,,,,
R_1l3K3jasWW2MXpH,National security,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Independent,Jobs,National security,Male,45-54,White/Caucasian,,,,,,1,,,,Approve somewhat
R_TnHaSWKULPl2RsB,Crime,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Very Liberal,Strong Democrat,Crime,Drug addiction,Female,45-54,White/Caucasian,,,,,,,1,,,Neither approve nor disapprove
R_1ibrXWUXc77rbvM,Crime,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Democrats lose the next election.,Moderate,Lean Democrat,Environment,Crime,Male,35-44,Asian,,,,,,,,,1,Approve somewhat
R_12ajVgf7YRyEr4r,Terrorism,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Not Sure,Independent,Health care,Terrorism,Female,65 or over,White/Caucasian,,,,1,Neither approve nor disapprove,,,,,
R_3iPXS8BNIMyl7QU,Health care,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Strong Republican,Jobs,Health care,Male,18-24,White/Caucasian,1,,,,Approve strongly,,,,,
R_3J1QBUW49N4bGGW,Jobs,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Independent,Jobs,Immigration,Male,35-44,White/Caucasian,,,,,,,1,,,Disapprove strongly
R_wZZ8VgWBghyANKp,Health care,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Republicans win the next election.,Moderate,Lean Democrat,Health care,Jobs,Female,45-54,White/Caucasian,,,,,,,1,,,Neither approve nor disapprove
R_3rUr78IBfVkZeYo,National security,We should do everything it takes to make sure Democrats win the next election.,We should do everything it takes to make sure Democrats lose the next election.,Liberal,Strong Democrat,Immigration,National security,Female,35-44,White/Caucasian,,,,,,,,,1,Approve somewhat
R_BQXctTBJroIIiTD,Crime,We should do everything it takes to make sure Republicans lose the next election.,We should do everything it takes to make sure Republicans win the next election.,Liberal,Weak Democrat,Health care,Crime,Female,25-34,Asian,,,,,,,,,1,Approve somewhat
